Week,ballet
2011-11-06,72
2011-11-13,72
2011-11-20,72
2011-11-27,93
2011-12-04,99
2011-12-11,100
2011-12-18,80
2011-12-25,55
2012-01-01,65
2012-01-08,66
2012-01-15,68
2012-01-22,67
2012-01-29,76
2012-02-05,69
2012-02-12,65
2012-02-19,64
2012-02-26,63
2012-03-04,64
2012-03-11,61
2012-03-18,64
2012-03-25,64
2012-04-01,63
2012-04-08,59
2012-04-15,60
2012-04-22,64
2012-04-29,64
2012-05-06,64
2012-05-13,61
2012-05-20,60
2012-05-27,65
2012-06-03,67
2012-06-10,67
2012-06-17,62
2012-06-24,61
2012-07-01,55
2012-07-08,58
2012-07-15,57
2012-07-22,54
2012-07-29,56
2012-08-05,64
2012-08-12,61
2012-08-19,60
2012-08-26,63
2012-09-02,68
2012-09-09,69
2012-09-16,68
2012-09-23,65
2012-09-30,65
2012-10-07,64
2012-10-14,67
2012-10-21,66
2012-10-28,60
2012-11-04,81
2012-11-11,72
2012-11-18,69
2012-11-25,90
2012-12-02,95
2012-12-09,89
2012-12-16,80
2012-12-23,64
2012-12-30,61
2013-01-06,65
2013-01-13,67
2013-01-20,65
2013-01-27,66
2013-02-03,64
2013-02-10,61
2013-02-17,60
2013-02-24,59
2013-03-03,62
2013-03-10,57
2013-03-17,58
2013-03-24,54
2013-03-31,56
2013-04-07,58
2013-04-14,55
2013-04-21,71
2013-04-28,65
2013-05-05,62
2013-05-12,60
2013-05-19,56
2013-05-26,53
2013-06-02,55
2013-06-09,53
2013-06-16,50
2013-06-23,48
2013-06-30,46
2013-07-07,49
2013-07-14,47
2013-07-21,53
2013-07-28,54
2013-08-04,55
2013-08-11,57
2013-08-18,59
2013-08-25,58
2013-09-01,65
2013-09-08,66
2013-09-15,66
2013-09-22,63
2013-09-29,59
2013-10-06,59
2013-10-13,59
2013-10-20,60
2013-10-27,59
2013-11-03,69
2013-11-10,67
2013-11-17,72
2013-11-24,64
2013-12-01,80
2013-12-08,85
2013-12-15,79
2013-12-22,64
2013-12-29,57
2014-01-05,61
2014-01-12,61
2014-01-19,61
2014-01-26,61
2014-02-02,67
2014-02-09,66
2014-02-16,61
2014-02-23,61
2014-03-02,56
2014-03-09,55
2014-03-16,55
2014-03-23,53
2014-03-30,56
2014-04-06,53
2014-04-13,49
2014-04-20,52
2014-04-27,56
2014-05-04,56
2014-05-11,58
2014-05-18,55
2014-05-25,52
2014-06-01,59
2014-06-08,55
2014-06-15,50
2014-06-22,47
2014-06-29,44
2014-07-06,47
2014-07-13,45
2014-07-20,47
2014-07-27,51
2014-08-03,56
2014-08-10,52
2014-08-17,55
2014-08-24,55
2014-08-31,60
2014-09-07,61
2014-09-14,57
2014-09-21,56
2014-09-28,59
2014-10-05,56
2014-10-12,58
2014-10-19,59
2014-10-26,56
2014-11-02,72
2014-11-09,69
2014-11-16,68
2014-11-23,61
2014-11-30,74
2014-12-07,79
2014-12-14,79
2014-12-21,61
2014-12-28,52
2015-01-04,58
2015-01-11,56
2015-01-18,60
2015-01-25,58
2015-02-01,57
2015-02-08,63
2015-02-15,57
2015-02-22,54
2015-03-01,53
2015-03-08,53
2015-03-15,51
2015-03-22,53
2015-03-29,49
2015-04-05,48
2015-04-12,52
2015-04-19,51
2015-04-26,55
2015-05-03,53
2015-05-10,55
2015-05-17,51
2015-05-24,49
2015-05-31,50
2015-06-07,51
2015-06-14,48
2015-06-21,49
2015-06-28,54
2015-07-05,49
2015-07-12,48
2015-07-19,48
2015-07-26,48
2015-08-02,49
2015-08-09,50
2015-08-16,51
2015-08-23,52
2015-08-30,54
2015-09-06,55
2015-09-13,58
2015-09-20,57
2015-09-27,59
2015-10-04,55
2015-10-11,55
2015-10-18,55
2015-10-25,54
2015-11-01,61
2015-11-08,62
2015-11-15,61
2015-11-22,59
2015-11-29,74
2015-12-06,80
2015-12-13,78
2015-12-20,65
2015-12-27,53
2016-01-03,58
2016-01-10,55
2016-01-17,55
2016-01-24,55
2016-01-31,55
2016-02-07,55
2016-02-14,54
2016-02-21,55
2016-02-28,54
2016-03-06,52
2016-03-13,52
2016-03-20,46
2016-03-27,47
2016-04-03,51
2016-04-10,49
2016-04-17,49
2016-04-24,50
2016-05-01,51
2016-05-08,50
2016-05-15,53
2016-05-22,49
2016-05-29,46
2016-06-05,49
2016-06-12,47
2016-06-19,43
2016-06-26,44
2016-07-03,39
2016-07-10,43
2016-07-17,43
2016-07-24,44
2016-07-31,45
2016-08-07,45
2016-08-14,45
2016-08-21,49
2016-08-28,50
2016-09-04,53
2016-09-11,54
2016-09-18,60
2016-09-25,51
2016-10-02,54
2016-10-09,52
2016-10-16,54
2016-10-23,56
2016-10-30,58
2016-11-06,73
