Week,berkeley
2011-11-20,95
2011-11-27,92
2011-12-04,87
2011-12-11,87
2011-12-18,77
2011-12-25,73
2012-01-01,83
2012-01-08,88
2012-01-15,95
2012-01-22,94
2012-01-29,93
2012-02-05,90
2012-02-12,88
2012-02-19,86
2012-02-26,90
2012-03-04,92
2012-03-11,93
2012-03-18,92
2012-03-25,89
2012-04-01,92
2012-04-08,90
2012-04-15,93
2012-04-22,95
2012-04-29,92
2012-05-06,96
2012-05-13,90
2012-05-20,87
2012-05-27,85
2012-06-03,82
2012-06-10,85
2012-06-17,87
2012-06-24,80
2012-07-01,85
2012-07-08,86
2012-07-15,87
2012-07-22,82
2012-07-29,88
2012-08-05,85
2012-08-12,90
2012-08-19,100
2012-08-26,99
2012-09-02,95
2012-09-09,91
2012-09-16,90
2012-09-23,89
2012-09-30,88
2012-10-07,87
2012-10-14,89
2012-10-21,84
2012-10-28,82
2012-11-04,88
2012-11-11,83
2012-11-18,74
2012-11-25,81
2012-12-02,80
2012-12-09,77
2012-12-16,71
2012-12-23,63
2012-12-30,71
2013-01-06,74
2013-01-13,76
2013-01-20,87
2013-01-27,83
2013-02-03,80
2013-02-10,81
2013-02-17,81
2013-02-24,78
2013-03-03,81
2013-03-10,82
2013-03-17,84
2013-03-24,89
2013-03-31,89
2013-04-07,86
2013-04-14,85
2013-04-21,88
2013-04-28,84
2013-05-05,84
2013-05-12,84
2013-05-19,81
2013-05-26,87
2013-06-02,81
2013-06-09,80
2013-06-16,79
2013-06-23,79
2013-06-30,84
2013-07-07,81
2013-07-14,82
2013-07-21,84
2013-07-28,84
2013-08-04,81
2013-08-11,85
2013-08-18,87
2013-08-25,97
2013-09-01,92
2013-09-08,91
2013-09-15,85
2013-09-22,82
2013-09-29,98
2013-10-06,85
2013-10-13,84
2013-10-20,83
2013-10-27,81
2013-11-03,82
2013-11-10,80
2013-11-17,81
2013-11-24,75
2013-12-01,74
2013-12-08,75
2013-12-15,74
2013-12-22,63
2013-12-29,69
2014-01-05,78
2014-01-12,80
2014-01-19,86
2014-01-26,86
2014-02-02,78
2014-02-09,82
2014-02-16,79
2014-02-23,80
2014-03-02,80
2014-03-09,82
2014-03-16,84
2014-03-23,90
2014-03-30,85
2014-04-06,85
2014-04-13,84
2014-04-20,88
2014-04-27,85
2014-05-04,83
2014-05-11,85
2014-05-18,81
2014-05-25,77
2014-06-01,79
2014-06-08,76
2014-06-15,75
2014-06-22,76
2014-06-29,78
2014-07-06,77
2014-07-13,79
2014-07-20,87
2014-07-27,81
2014-08-03,80
2014-08-10,81
2014-08-17,85
2014-08-24,90
2014-08-31,87
2014-09-07,82
2014-09-14,82
2014-09-21,80
2014-09-28,82
2014-10-05,80
2014-10-12,80
2014-10-19,78
2014-10-26,75
2014-11-02,81
2014-11-09,78
2014-11-16,78
2014-11-23,69
2014-11-30,74
2014-12-07,97
2014-12-14,73
2014-12-21,72
2014-12-28,63
2015-01-04,71
2015-01-11,72
2015-01-18,75
2015-01-25,73
2015-02-01,74
2015-02-08,73
2015-02-15,74
2015-02-22,71
2015-03-01,71
2015-03-08,72
2015-03-15,76
2015-03-22,79
2015-03-29,82
2015-04-05,79
2015-04-12,77
2015-04-19,78
2015-04-26,78
2015-05-03,75
2015-05-10,77
2015-05-17,73
2015-05-24,71
2015-05-31,72
2015-06-07,72
2015-06-14,89
2015-06-21,74
2015-06-28,72
2015-07-05,73
2015-07-12,75
2015-07-19,74
2015-07-26,74
2015-08-02,73
2015-08-09,75
2015-08-16,78
2015-08-23,83
2015-08-30,79
2015-09-06,79
2015-09-13,76
2015-09-20,74
2015-09-27,75
2015-10-04,75
2015-10-11,76
2015-10-18,73
2015-10-25,69
2015-11-01,72
2015-11-08,68
2015-11-15,67
2015-11-22,63
2015-11-29,68
2015-12-06,65
2015-12-13,65
2015-12-20,58
2015-12-27,58
2016-01-03,67
2016-01-10,67
2016-01-17,71
2016-01-24,72
2016-01-31,68
2016-02-07,68
2016-02-14,71
2016-02-21,68
2016-02-28,69
2016-03-06,69
2016-03-13,72
2016-03-20,76
2016-03-27,73
2016-04-03,71
2016-04-10,71
2016-04-17,71
2016-04-24,74
2016-05-01,70
2016-05-08,72
2016-05-15,71
2016-05-22,67
2016-05-29,68
2016-06-05,68
2016-06-12,67
2016-06-19,67
2016-06-26,65
2016-07-03,67
2016-07-10,67
2016-07-17,69
2016-07-24,69
2016-07-31,71
2016-08-07,70
2016-08-14,75
2016-08-21,79
2016-08-28,77
2016-09-04,73
2016-09-11,69
2016-09-18,73
2016-09-25,70
2016-10-02,67
2016-10-09,67
2016-10-16,67
2016-10-23,71
2016-10-30,67
2016-11-06,65
