Week,statistics
2011-11-06,93
2011-11-13,98
2011-11-20,78
2011-11-27,100
2011-12-04,96
2011-12-11,81
2011-12-18,54
2011-12-25,44
2012-01-01,63
2012-01-08,75
2012-01-15,76
2012-01-22,82
2012-01-29,84
2012-02-05,86
2012-02-12,84
2012-02-19,85
2012-02-26,90
2012-03-04,86
2012-03-11,84
2012-03-18,86
2012-03-25,90
2012-04-01,81
2012-04-08,84
2012-04-15,95
2012-04-22,96
2012-04-29,92
2012-05-06,87
2012-05-13,82
2012-05-20,75
2012-05-27,67
2012-06-03,67
2012-06-10,68
2012-06-17,65
2012-06-24,62
2012-07-01,55
2012-07-08,61
2012-07-15,61
2012-07-22,62
2012-07-29,59
2012-08-05,59
2012-08-12,59
2012-08-19,65
2012-08-26,66
2012-09-02,71
2012-09-09,77
2012-09-16,79
2012-09-23,81
2012-09-30,81
2012-10-07,81
2012-10-14,82
2012-10-21,80
2012-10-28,75
2012-11-04,85
2012-11-11,83
2012-11-18,69
2012-11-25,86
2012-12-02,86
2012-12-09,83
2012-12-16,71
2012-12-23,42
2012-12-30,53
2013-01-06,73
2013-01-13,74
2013-01-20,72
2013-01-27,76
2013-02-03,78
2013-02-10,76
2013-02-17,77
2013-02-24,80
2013-03-03,82
2013-03-10,77
2013-03-17,81
2013-03-24,73
2013-03-31,75
2013-04-07,83
2013-04-14,87
2013-04-21,84
2013-04-28,86
2013-05-05,82
2013-05-12,75
2013-05-19,68
2013-05-26,61
2013-06-02,62
2013-06-09,58
2013-06-16,58
2013-06-23,55
2013-06-30,49
2013-07-07,53
2013-07-14,58
2013-07-21,56
2013-07-28,52
2013-08-04,53
2013-08-11,54
2013-08-18,57
2013-08-25,60
2013-09-01,63
2013-09-08,69
2013-09-15,72
2013-09-22,72
2013-09-29,74
2013-10-06,73
2013-10-13,73
2013-10-20,76
2013-10-27,75
2013-11-03,79
2013-11-10,80
2013-11-17,84
2013-11-24,66
2013-12-01,80
2013-12-08,73
2013-12-15,58
2013-12-22,34
2013-12-29,43
2014-01-05,60
2014-01-12,68
2014-01-19,66
2014-01-26,69
2014-02-02,71
2014-02-09,69
2014-02-16,70
2014-02-23,77
2014-03-02,76
2014-03-09,73
2014-03-16,74
2014-03-23,75
2014-03-30,75
2014-04-06,75
2014-04-13,70
2014-04-20,74
2014-04-27,78
2014-05-04,75
2014-05-11,67
2014-05-18,64
2014-05-25,60
2014-06-01,60
2014-06-08,59
2014-06-15,57
2014-06-22,53
2014-06-29,49
2014-07-06,52
2014-07-13,51
2014-07-20,51
2014-07-27,49
2014-08-03,50
2014-08-10,52
2014-08-17,57
2014-08-24,58
2014-08-31,60
2014-09-07,67
2014-09-14,69
2014-09-21,69
2014-09-28,72
2014-10-05,71
2014-10-12,72
2014-10-19,71
2014-10-26,72
2014-11-02,74
2014-11-09,75
2014-11-16,78
2014-11-23,66
2014-11-30,81
2014-12-07,73
2014-12-14,58
2014-12-21,35
2014-12-28,38
2015-01-04,55
2015-01-11,63
2015-01-18,63
2015-01-25,66
2015-02-01,67
2015-02-08,69
2015-02-15,64
2015-02-22,70
2015-03-01,71
2015-03-08,74
2015-03-15,71
2015-03-22,74
2015-03-29,64
2015-04-05,67
2015-04-12,74
2015-04-19,76
2015-04-26,77
2015-05-03,73
2015-05-10,69
2015-05-17,62
2015-05-24,56
2015-05-31,59
2015-06-07,54
2015-06-14,54
2015-06-21,51
2015-06-28,47
2015-07-05,47
2015-07-12,47
2015-07-19,48
2015-07-26,48
2015-08-02,49
2015-08-09,49
2015-08-16,50
2015-08-23,56
2015-08-30,59
2015-09-06,60
2015-09-13,65
2015-09-20,64
2015-09-27,68
2015-10-04,71
2015-10-11,68
2015-10-18,68
2015-10-25,68
2015-11-01,72
2015-11-08,70
2015-11-15,74
2015-11-22,59
2015-11-29,73
2015-12-06,73
2015-12-13,59
2015-12-20,36
2015-12-27,36
2016-01-03,59
2016-01-10,62
2016-01-17,61
2016-01-24,65
2016-01-31,65
2016-02-07,66
2016-02-14,62
2016-02-21,69
2016-02-28,70
2016-03-06,68
2016-03-13,67
2016-03-20,61
2016-03-27,62
2016-04-03,67
2016-04-10,71
2016-04-17,71
2016-04-24,71
2016-05-01,69
2016-05-08,67
2016-05-15,61
2016-05-22,56
2016-05-29,52
2016-06-05,53
2016-06-12,58
2016-06-19,52
2016-06-26,48
2016-07-03,55
2016-07-10,55
2016-07-17,50
2016-07-24,49
2016-07-31,47
2016-08-07,47
2016-08-14,49
2016-08-21,52
2016-08-28,56
2016-09-04,59
2016-09-11,62
2016-09-18,67
2016-09-25,68
2016-10-02,64
2016-10-09,64
2016-10-16,67
2016-10-23,66
2016-10-30,67
2016-11-06,72
